time_s,thrust_N,mass_flow_kg_s
7.06,53813.8,22.119381144980434
7.07,53821.9,22.122710532373155
7.09,53830.1,22.12608102331393
7.1,53838.3,22.12945151425471
7.12,53846.6,22.132863108743546
7.13,53855.0,22.13631580678044
7.14,53863.4,22.139768504817336
7.16,53871.8,22.14322120285423
7.17,53880.4,22.14675610798724
7.19,53888.9,22.150249909572192
7.2,53897.6,22.15382591825326
7.22,53906.3,22.157401926934334
7.23,53915.0,22.160977935615403
7.24,53923.8,22.16459504784453
7.26,53932.7,22.168253263621715
7.27,53941.6,22.1719114793989
7.29,53950.5,22.175569695176087
7.3,53959.6,22.17931011804939
7.31,53968.6,22.183009437374633
7.33,53977.7,22.186749860247936
7.34,53986.9,22.190531386669296
7.36,53996.1,22.194312913090656
7.37,54005.3,22.19809443951202
7.38,54014.6,22.201917069481436
7.4,54023.9,22.205739699450856
7.41,54033.3,22.209603432968333
7.43,54042.6,22.213426062937753
7.44,54052.1,22.217330900003287
7.45,54061.5,22.221194633520764
7.47,54071.0,22.2250994705863
7.48,54080.5,22.229004307651834
7.5,54090.1,22.23295024826543
7.51,54099.7,22.236896188879022
7.53,54109.3,22.240842129492616
7.54,54119.0,22.244829173654267
7.55,54128.7,22.24881621781592
7.57,54138.4,22.252803261977572
7.58,54148.2,22.256831409687283
7.6,54158.0,22.260859557396994
7.61,54167.8,22.264887705106705
7.62,54177.6,22.268915852816413
7.64,54187.5,22.272985104074184
7.65,54197.4,22.277054355331952
7.67,54207.4,22.28116471013778
7.68,54217.3,22.285233961395548
7.69,54227.3,22.289344316201376
7.71,54237.3,22.2934546710072
7.72,54247.4,22.297606129361085
7.74,54257.4,22.301716484166914
7.75,54267.5,22.3058679425208
7.77,54277.6,22.310019400874683
7.78,54287.7,22.314170859228568
7.79,54297.8,22.318322317582453
7.81,54307.9,22.322473775936338
7.82,54318.1,22.32666633783828
7.84,54328.2,22.330817796192164
7.85,54338.4,22.33501035809411
7.86,54348.6,22.33920291999605
7.88,54358.8,22.343395481897996
7.89,54369.0,22.34758804379994
7.91,54379.2,22.351780605701883
7.92,54389.4,22.35597316760383
7.93,54399.7,22.360206833053827
7.95,54409.9,22.364399394955772
7.96,54420.2,22.368633060405774
7.98,54430.5,22.372866725855776
7.99,54440.7,22.377059287757717
8.0,54451.0,22.38129295320772
8.02,54461.3,22.38552661865772
8.03,54471.6,22.389760284107723
8.05,54481.9,22.393993949557725
8.06,54492.2,22.398227615007727
8.08,54502.5,22.40246128045773
8.09,54512.7,22.40665384235967
8.1,54522.8,22.41080530071356
